script_id,title,year,gross,writer,producer,director,total female words,total male words,percentage female,percentage male
633,A Serious Man,2009,10,m,m,m,3763,8163,32%,68%
653,Ali,2001,89,m,m,m,857,8144,10%,90%
678,Analyze This,2002,48,m,m,m,759,12083,6%,94%
714,Bamboozled,2000,3,m,m,m,1835,9632,16%,84%
726,The Beach,2000,64,m,m,m,1605,9204,15%,85%
740,Big Fish,2003,95,m,m,m,2173,6953,24%,76%
745,The Black Dahlia,2006,29,m,m,m,3167,8247,28%,72%
781,Bruce Almighty,2003,350,m,m,m,3425,9584,26%,74%
785,Burn After Reading,2008,73,m,m,m,2471,5827,30%,70%
789,Cast Away,2000,377,m,f,m,867,4956,15%,85%
793,Cellular,2004,44,m,m,m,2063,7578,21%,79%
795,Changeling,2008,43,m,f,m,4177,8895,32%,68%
814,Confessions of a Dangerous Mind,2002,,m,m,m,1869,5453,26%,74%
815,Collateral Damage,2002,59,m,m,m,470,4222,10%,90%
818,Constantine,2005,102,m,m,m,2930,6784,30%,70%
822,Cradle 2 the Grave,2003,49,m,m,m,1003,7197,12%,88%
850,Death to Smoochy,2002,12,m,f,m,1810,7375,20%,80%
851,Deception,2008,5,m,m,m,972,7565,11%,89%
855,Defiance,2008,34,m,m,m,1521,9428,14%,86%
863,Disturbia,2007,101,m,f,m,1937,4410,31%,69%
879,Eagle Eye,2008,122,m,m,m,4113,4972,45%,55%
885,Elizabeth: The Golden Age,2007,20,m,m,m,3848,3468,53%,47%
915,Final Destination,2000,86,m,m,m,908,1971,32%,68%
935,G.I. Joe: The Rise of Cobra,2009,174,m,m,m,3173,10868,23%,77%
939,Gamer,2009,23,m,m,m,565,1657,25%,75%
942,Gangs of New York,2002,116,m,f,m,1419,10005,12%,88%
953,Ginger Snaps,2000,,f,f,m,7287,1640,82%,18%
962,Gothika,2003,85,m,m,m,8680,5568,61%,39%
988,Harold & Kumar Go to White Castle,2004,25,m,m,m,868,10055,8%,92%
989,Harry Potter and the Chamber of Secrets,2002,392,f,m,m,2440,14445,14%,86%
991,Harry Potter and the Sorcerer's Stone,2001,488,f,m,m,1582,6466,20%,80%
992,Harry Potter and the Prisoner of Azkaban,2004,348,f,m,m,3213,12268,21%,79%
1001,Heist,2001,,m,m,m,927,5664,14%,86%
1002,Hellboy II: The Golden Army,2008,91,m,m,m,1999,8230,20%,80%
1028,The Incredibles,2004,365,m,m,m,2749,3110,47%,53%
1041,Intolerable Cruelty,2003,50,m,m,m,3668,5092,42%,58%
1044,The Invention of Lying,2009,21,m,f,m,2038,6369,24%,76%
1046,The Italian Job,2003,152,m,m,m,686,3694,16%,84%
1062,Jurassic Park III,2001,278,m,m,m,824,3307,20%,80%
1091,Law Abiding Citizen,2009,85,m,m,m,1101,7994,12%,88%
1093,Legally Blonde,2001,146,f,m,m,7134,2754,72%,28%
1094,Legion,2010,44,m,m,m,3302,7482,31%,69%
1114,The Lord of the Rings: The Return of the King,2003,543,m,m,m,145,3888,4%,96%
1115,The Lord of the Rings: The Fellowship of the Ring,2001,482,m,m,m,1212,7483,14%,86%
1116,The Lord of the Rings: The Two Towers,2002,509,m,m,m,206,5260,4%,96%
1143,The Matrix Reloaded,2003,405,m,m,m,518,2533,17%,83%
1146,Max Payne,2008,49,m,m,m,319,3007,10%,90%
1153,Milk,2008,38,m,m,m,357,10769,3%,97%
1165,Mission to Mars,2000,98,m,m,m,1062,7302,13%,87%
1166,Monkeybone,2001,8,m,m,m,1667,4418,27%,73%
1186,New York Minute,2004,19,f,f,f,4557,2050,69%,31%
1190,Next,2007,22,m,m,m,2425,2931,45%,55%
1211,Orphan,2009,48,m,m,m,7734,3285,70%,30%
1212,The Other Boleyn Girl,2008,32,m,m,m,3541,3538,50%,50%
1213,Kate & Leopold,2001,72,m,m,m,841,4676,15%,85%
1215,Panic Room,2002,142,m,f,m,1617,2773,37%,63%
1216,The Pacifier,2005,153,m,m,m,1858,4341,30%,70%
1218,The Patriot,2000,182,m,m,m,275,6568,4%,96%
1219,Pearl Harbor,2001,305,m,m,m,1259,4988,20%,80%
1250,The Proposal,2009,190,m,f,f,7377,6460,53%,47%
1253,Punch-Drunk Love,2002,26,m,m,m,2853,4650,38%,62%
1258,The Queen,2006,74,m,m,m,2461,3096,44%,56%
1269,Red Planet,2000,28,m,m,m,2168,12584,15%,85%
1285,RocknRolla,2008,6,m,m,m,585,8530,6%,94%
1286,Romeo & Juliet,2013,1,m,m,m,2245,4269,34%,66%
1295,Save the Last Dance,2001,139,m,f,m,4047,4318,48%,52%
1325,Signs,2002,341,m,f,m,1070,4359,20%,80%
1339,Snatch.,2000,48,m,m,m,249,13373,2%,98%
1340,Smokin' Aces,2006,47,m,m,m,2051,8038,20%,80%
1349,Spanglish,2004,58,m,f,m,10720,4585,70%,30%
1351,Speed Racer,2008,53,m,f,m,1720,13103,12%,88%
1360,Star Wars: Episode II - Attack of the Clones,2002,465,m,m,m,1273,6242,17%,83%
1361,Star Trek,2009,299,m,m,m,682,6582,9%,91%
1389,TMNT,2007,68,m,m,m,1226,8248,13%,87%
1391,Taking Lives,2004,45,m,m,m,6515,3368,66%,34%
1401,Thirteen Days,2000,55,m,m,m,136,12417,1%,99%
1428,Tropic Thunder,2008,133,m,m,m,295,10296,3%,97%
1438,Unbreakable,2000,153,m,m,m,1206,4101,23%,77%
1444,V for Vendetta,2005,95,m,m,m,3717,5081,42%,58%
1447,Vanilla Sky,2001,155,m,m,m,2613,7786,25%,75%
1455,A Walk to Remember,2002,61,m,f,m,1710,3902,30%,70%
1458,Wanted,2008,163,m,m,m,4100,6353,39%,61%
1459,War of the Worlds,2005,317,m,m,m,589,1446,29%,71%
1461,Watchmen,2009,125,m,m,m,3055,8747,26%,74%
1465,We Own the Night,2007,36,m,m,m,623,7284,8%,92%
1467,While She Was Out,2008,,m,m,f,792,2342,25%,75%
1471,Whiteout,2009,11,m,m,m,1889,2232,46%,54%
1488,X-Men Origins: Wolverine,2009,208,m,m,m,2016,6798,23%,77%
1497,xXx,2002,211,m,m,m,998,7287,12%,88%
1509,2012,2009,192,m,m,m,2560,11574,18%,82%
1517,12 Years a Slave,2013,60,m,f,m,3452,16176,18%,82%
1520,127 Hours,2010,20,m,m,m,809,4336,16%,84%
1525,17 Again,2009,74,m,m,m,3806,12832,23%,77%
1530,30 Minutes or Less,2011,40,m,m,m,704,14278,5%,95%
1534,(500) Days of Summer,2009,37,m,m,m,5738,12762,31%,69%
1556,The Adjustment Bureau,2011,68,m,m,m,3222,12258,21%,79%
1603,All About Steve,2009,39,f,f,m,8644,6901,56%,44%
1606,Almost Famous,2000,52,m,m,m,6766,16484,29%,71%
1613,Amelia,2009,16,f,m,f,17014,13622,56%,44%
1628,American Hustle,2013,160,m,m,m,5507,16441,25%,75%
1634,American Outlaws,2001,20,m,m,m,911,10438,8%,92%
1639,American Psycho,2000,24,m,m,f,3212,13962,19%,81%
